bids,brand,character,era,franchise,price,sell_date,size,title,toy_type,year
0,Hasbro,The Mandalorian,2002-Now,Star Wars,45.0,"Oct 10, 2019",6in.,Star Wars Black Series 6” Inch THE MANDALORIAN # 94 First Edition NEW in Hand,Action Figure,2019
0,Funko,Aladdin,2002-Now,Aladdin,17.59,"Oct 10, 2019",5in.,Funko Pop Movie Moments: Disney Aladdin - Magic Carpet Ride Vinyl Figures Read,Action Figure,2019
0,Neca,Hicks,2002-Now,Aliens,47.99,"Oct 10, 2019","7""","HICKS MARINE ALIEN Neca ALIENS Series 9 2016 7"" INCH LOOSE Action FIGURE",Action Figure,2016
0,Neca,Hudson,2002-Now,Aliens,47.99,"Oct 10, 2019","7""","HUDSON MARINE ALIEN Neca ALIENS Series 9 2016 7"" INCH LOOSE Action FIGURE",Action Figure,2016
0,Hasbro,,,GI Joe,15.99,"Oct 10, 2019",3.75in., ~1984 G.I. JOE / COBRA ~ FIREFLY Restoration cardback kit!!!,Action Figure,1984
0,Unbranded,Boba Fett,,Star Wars,25.99,"Oct 10, 2019",6in.,STAR WARS The Black Series: #03 SANDTROOPER ACTION FIGURE 6'',Action Figure,2012
0,Hasbro,Abominus Combiner 5-pack,2002-Now,Transformers,14.0,"Oct 10, 2019",,Abominus 5-pack Beast Hunters 100% Complete Giftset Prime Transformers,Action Figure Loose Complete,2013
3,Marvel,Scarlet Witch,2002-Now,Marvel Avengers,3.0,"Oct 10, 2019",,Marvel Avengers Age of Ultron SCARLET WITCH vs. SUB-ULTRON 008,Action Figure,
1,Marvel / ToyBiz,,,Incredible Hulk,14.2,"Oct 10, 2019",7in.,RARE 2003 ToyBiz Super Poseable Leaping HULK Action Figure Marvel Bruce Banner,Action Figure,2003
0,Takara,Prowl,1980-2001,Transformers,250.0,"Oct 10, 2019",,Prowl 100% Complete Takara 09 Japanese Vintage G1 Transformers Action Figure,Action Figure,1985
8,Hasbro,Kickback,2002-Now,Transformers,9.5,"Oct 10, 2019",,"Transformers: Titans Return Kickback action figure (Hasbro, 2016)-carded",Action Figure,2016
0,SW ourworld,,,,154.99,"Oct 10, 2019",12in.,12'' Female Figure 1/6 SW ourworld FS014 Rebecca Chambers Resident Evil Doll Toy,Action Figure,2019
11,Hasbro,Namor the Sub-Mariner,,Marvel Universe,7.5,"Oct 10, 2019",,Hasbro Marvel Legends Namor The Submariner Action Figure Black Panther Wave 2018,Action Figure,2018
0,,,1980-2001,,9.99,"Oct 10, 2019",,transformers g2 minicars mini vehicles minibots seaspray,Action Figure,
36,ToyBiz,,,,370.0,"Oct 10, 2019",,SpiderMan ToyBiz 1994 1995 1996 Animated Series and Special Action Figure Lot Ne,Action Figure,1995
