,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
3908,3908,0,Hasbro,Military & Adventure,Roadblock,New,,GI Joe,,323927968259,17.95,1,"Oct 11, 2019",3.75in.,gi joe 25th anniversary heavy machine gunner roadblock figure,Action Figure,2007,BIN
3909,3909,2,McFarlane Toys,"TV, Movie & Video Games",The Tin Woodman,New,2002-Now,Twister Land of Oz,,293262771196,6.5,1,"Oct 11, 2019",7in.,2003 mcfarlane's monsters series 2 twisted land of oz tin woodman action figure,Action Figure,2003,Auction
3910,3910,0,Unbranded,Transformers & Robots,O P,New,,,,303018097853,34.99,1,,,transformers optimus prime robot action figure g1 new in stock,Action Figure,,BIN
3911,3911,0,DC,Comic Book Heroes,,New,,,,133104474966,17.09,2,"Oct 11, 2019",,dc comics two-face action figure batman's series 3 greg capullo collectibles,,,BIN
3912,3912,0,Mattel,Sports,Nikki Bella,New,2002-Now,WWE,,392450482556,10.1,1,"Oct 11, 2019",6in.,"nikki bella - wwe mattel superstar 6"" girls wrestling action figure",Action Figure,2017,BIN
3913,3913,0,McFarlane Toys,Comic Book Heroes,,New,,,,193071167158,8.95,1,"Oct 11, 2019",,todd mcfarlane toys wetworks mother-one action figure new in package,,,BIN
3914,3914,0,Jazwares,"TV, Movie & Video Games",Drift,New,2002-Now,Fortnite,,293188275183,5.99,118,,,"fortnite solo mode core figure pack, drift",Action Figure,2018,BIN
3915,3915,0,Hasbro,Transformers & Robots,Stakeout with Protectobots,Used,2002-Now,Transformers,,283635506368,14.75,1,"Oct 11, 2019",,transformers power core combiners 5 pack stakeout with protectobots set lot team,Action Figure,2010,BIN
3916,3916,3,Hasbro,Comic Book Heroes,Iron Monger,Used,2002-Now,Iron Monger,,333350527142,10.5,1,"Oct 11, 2019",7in.,marvel legends iron man iron monger  figure 2008 movie mcu hasbro,Action Figure,2008,Auction
3917,3917,18,Hasbro,Comic Book Heroes,Spider-Man,New,2002-Now,Spider-Man,,183983049997,19.5,1,"Oct 11, 2019",,hasbro marvel legends spider-man noir action figure lizard baf wave 2018,Action Figure,2018,Auction
