,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
2653,0,21st Century Toys,Transformers & Robots,Sunstreaker,New,2002-Now,Transformers,,362610501380,50.99,9,,18cm,New arrival Transformer G1 Jazz reissue boxed brand new ,Action Figure,2018
2654,0,21st Century Toys,Transformers & Robots,Sunstreaker,New,2002-Now,Transformers,,362610499380,58.99,3,,18cm,New arrivial TRANSFORMERS G1 Reissue Hound Gift Kids Toy Action Brand new,Action Figure,2018
2655,0,Funko,"TV, Movie & Video Games",Claire,New,,Trollhunters,,362740718509,20.31,2,"Oct 11, 2019","3.75""",DreamWorks Trollhunters 3.75-Inch Scale Action Figure - Claire BRAND NEW,Action Figure,
2656,0,Jurassic World Toys,"TV, Movie & Video Games",,New,,,,163849773882,24.04,1,,,"Jurassic World Attack Pack Stygimoloch ""Stiggy""",,
2657,3,Kenner,"TV, Movie & Video Games",,Used,,Star Wars,,223693207366,1.75,1,"Oct 11, 2019",3.75in.,EMPEROR'S ROYAL GUARD * Power of the Force Freeze Frame * Loose,Action Figure,
2658,6,Hasbro,"TV, Movie & Video Games",Obi-Wan Kenobi,Used,,Star Wars,,223692952108,13.47,1,"Oct 11, 2019",6in.,Star Wars Black Series 6 Inch 85 Obi-Wan Kenobi (Padawan) -The Phantom Menace,Action Figure,
2659,0,BMB,Transformers & Robots,,New,2002-Now,Transformers,,174033477788,21.72,6,,,BMB Oversized Movie Transformers The Last Knight Action Figures VClass Xmas Gift,Action Figure,2016
2660,0,Unbranded,"TV, Movie & Video Games",,New,,,,401835978732,33.35,2,,22cm,1/9 Scale Russell Westbrook #0 Blue Jersey Action Figure Collection New In Box,Action Figure,
2661,0,FLAGSET,Military & Adventure,,New,2002-Now,,,303274250488,19.99,1,,,FLAGSET 73020 1/6 US Seals 6 Team DEVGRU Jungle Dagger Action Figure Uniform,Action Figure,2019
2662,0,Hasbro,Transformers & Robots,SIX SHOT / REVOLVER,New,2002-Now,Transformers,,362710297740,19.95,4,,10in.,Transformers Generations Siege Deluxe Wave 3 BRUNT,Action Figure,2017
2663,0,Playmates Toys,"TV, Movie & Video Games",walkabout,New,1980-2001,Teenage Mutant Ninja Turtles,,174058803813,44.99,1,"Oct 11, 2019",,TMNT 1991 Walkabout Noc Unpunched W/Protective Case,Action Figure,1991
