,bids,brand,category,character,condition,era,franchise,gender,price,quantity_sold,sell_date,size,title,toy_type,year,format
4065,0,Star Wars,"TV, Movie & Video Games",The Mandalorian,New,2002-Now,Star Wars,,34.99,2,"Oct 10, 2019",6in.,"New THE MANDALORIAN! Star Wars Black Series #94 6""- Rise of Skywalker",Action Figure,2019,BIN
4066,9,Kenner,"TV, Movie & Video Games",,Used,1980-2001,Star Wars,,60.0,1,"Oct 10, 2019",3.75in.,(21) Vintage Star Wars Loose Action Figure Accessories Weapons Vehicle Parts,Action Figure,,Auction
4067,5,MLB The Show 19,Sports,,New,,,,18.0,1,"Oct 10, 2019",,"Aaron Judge (New York Yankees) Gray Jersey LE MLB The Show 19 7"" Figure",,,Auction
4068,2,DC Direct,Comic Book Heroes,Green Lantern,New,,,,51.0,1,"Oct 10, 2019",,DC Direct Action Figures Lot Other Worlds Hard Traveling JSA Green Lantern New,Action Figure,,Auction
4069,9,Hasbro,Military & Adventure,,Used,,GI Joe,,54.9,1,"Oct 10, 2019",3.75in.,"Vintage GI Joe Ranger ""Stalker"" Loose Action Figure & RAM Rapid Fire Motorcycle",Action Figure,1982,Auction
4070,4,Hasbro,Military & Adventure,,Used,,Gi  Joe,,9.27,1,"Oct 10, 2019",3.75in.,Vintage 1988 GI JOE Hardball Action Figure COMPLETE With Accessories Hasbro,Action Figure,,Auction
4071,7,MLB The Show 19,Sports,,New,,,,19.49,1,"Oct 10, 2019",,"Aaron Judge (New York Yankees) Pinstripe Jersey LE MLB The Show 19 7"" Figure",,,Auction
4072,1,Funko,"TV, Movie & Video Games",,New,2002-Now,Funko Pop,,4.99,1,"Oct 10, 2019",Small,Funko - POP Movies: James Bond - Oddjob Brand New In Box,Action Figure,2017,Auction
4073,2,Hasbro,Comic Book Heroes,Beast,New,,X-Men,,15.0,1,"Oct 10, 2019",,"New, in Package, Hasbro Marvel Legends X-Men: The Last Stand Beast Action Figure",Action Figure,,Auction
4074,1,Capcom / Minted Labs,"TV, Movie & Video Games",Nemesis,New,,Resident Evil,,99.99,1,"Oct 10, 2019",15in.,"Resident Evil 3: Nemesis 15"" Soft Statue Figure 1:6 MLI Exclusive Figure #11","Action Figure, Statue, Doll",,Auction
4075,1,PEZ,"TV, Movie & Video Games",,New,,,,29.99,1,"Oct 10, 2019",,Seinfeld Pez Collectible Art Dispenser & Package Bootleg Action Figure RARE 1st,Action Figure,,Auction
4076,0,Hasbro,Transformers & Robots,Bumblebee,New,2002-Now,Transformers,,16.95,2,"Oct 10, 2019",,TRANSFORMERS G1 REISSUE BUMBLEBEE WALMART EXCLUSIVE IN HAND! NEW Free shipping!,Action Figure,2018,BIN
4077,0,Marvel Legends,Comic Book Heroes,Daredevil,New,2002-Now,Marvel Universe,,39.99,1,"Oct 10, 2019",,SDCC Exclusive Marvel Legends Defenders Daredevil- Murdock -  Action Figure,Action Figure,,BIN
4078,1,DC Comics,Comic Book Heroes,,New,2002-Now,,,7.99,1,"Oct 10, 2019","7""",ORION New Gods The New 52 Action Figure DC Comics New ,Action Figure,2014,Auction
4079,1,DC Collectibles,Comic Book Heroes,,New,,DC Universe,,7.99,1,"Oct 10, 2019",,DC Collectibles DC Comics The New 52 Earth 2 Green Lantern (Alan Scott) Figure,Action Figure,,Auction
